timestamp,cadence,power,SmO2
07:35:56,0,5,76
07:35:57,45,6,76
07:35:58,45,5,76
07:35:59,45,4,76
07:36:00,0,0,75
07:36:01,0,0,76
07:36:02,0,0,76
07:36:03,0,0,76
07:36:04,0,0,75
07:36:05,0,0,77
07:36:06,0,0,76
07:36:07,0,0,76
07:36:53,44,18,76
07:36:54,44,18,76
07:36:55,43,19,76
07:36:56,43,21,76
07:36:57,43,18,76
07:36:58,43,18,77
07:36:59,42,19,77
07:37:00,42,21,77
07:37:01,44,16,76
07:37:02,44,9,77
07:37:03,44,9,77
07:37:04,44,15,77
07:37:05,43,15,77
07:37:06,43,10,77
07:37:07,43,10,76
07:37:08,0,5,77
07:37:09,37,11,76
07:37:10,38,10,77
07:37:11,44,15,76
07:37:12,43,19,76
07:37:13,45,19,77
07:37:14,44,20,77
07:37:15,44,16,78
07:37:16,44,16,78
07:37:17,45,14,78
07:37:18,45,10,78
07:37:19,45,4,78
07:37:20,45,0,79
07:37:21,0,0,79
07:37:22,0,0,79
07:37:23,0,0,79
07:37:42,47,21,80
07:37:43,47,21,79
07:37:44,47,22,79
07:37:45,47,21,79
07:37:46,47,23,79
07:37:47,46,24,80
07:37:48,48,25,79
07:37:49,48,25,79
07:37:50,48,26,79
07:37:51,48,25,80
07:37:52,47,24,79
07:37:53,48,24,80
07:37:54,48,19,79
07:37:55,48,12,79
07:37:56,48,11,80
07:37:57,47,12,80
07:37:58,47,11,79
07:37:59,48,17,79
07:38:00,48,17,79
07:38:01,48,18,79
07:38:02,49,10,80
07:38:03,49,14,79
07:38:04,49,14,80
07:38:05,49,12,80
07:38:06,49,20,79
07:38:07,49,25,80
07:38:08,49,26,79
07:38:09,49,17,80
07:38:10,49,13,80
07:38:11,49,12,80
07:38:12,48,17,80
07:38:13,48,28,79
07:38:14,49,31,80
07:38:15,49,25,81
07:38:16,49,21,81
07:38:17,50,19,81
07:38:18,50,24,81
07:38:19,50,23,81
07:38:20,49,26,81
07:38:21,49,21,82
07:38:22,49,16,81
07:38:23,49,10,81
07:38:24,49,9,81
07:38:25,49,12,81
07:38:26,54,13,82
07:38:27,54,13,83
07:38:28,0,6,83
07:38:29,50,12,82
07:38:30,50,18,82
07:38:31,49,24,81
07:38:32,50,23,82
07:38:33,49,17,83
07:38:34,49,15,83
07:38:35,49,8,82
07:38:36,0,9,81
07:38:37,0,2,81
07:38:38,0,3,82
07:38:39,0,3,83
07:38:40,0,7,83
07:38:41,50,6,82
07:38:42,50,10,82
07:38:43,50,11,82
07:38:44,50,6,82
07:38:45,50,4,83
07:38:46,50,2,83
07:38:47,0,7,82
07:38:48,10,10,81
07:38:50,49,21,82
07:38:51,49,21,82
07:38:52,49,22,82
07:38:53,49,23,82
07:38:54,49,18,82
07:38:55,49,16,82
07:38:56,30,17,81
07:38:57,51,24,82
07:38:58,52,26,82
07:38:59,51,27,83
07:39:00,52,27,82
07:39:01,52,20,83
07:39:02,52,19,82
07:39:03,52,19,82
07:39:04,52,23,82
07:39:05,52,22,82
07:39:06,51,25,83
07:39:07,51,30,82
07:39:08,51,32,82
07:39:09,51,28,82
07:39:10,50,27,82
07:39:11,50,26,82
07:39:12,50,30,83
07:39:13,51,28,83
07:39:14,51,28,82
07:39:15,51,23,82
07:39:16,51,24,82
07:39:17,50,25,81
07:39:18,51,25,82
07:39:19,50,26,82
07:39:20,51,27,82
07:39:21,51,27,81
07:39:22,51,28,82
07:39:23,52,28,81
07:39:24,52,28,81
07:39:25,52,28,82
07:39:26,52,28,82
07:39:27,52,20,82
07:39:28,52,16,82
07:39:29,51,18,82
07:39:30,52,23,81
07:39:31,53,29,81
07:39:32,52,31,81
07:39:33,52,24,81
07:39:34,52,20,81
07:39:35,61,12,82
07:39:36,0,9,82
07:39:37,53,8,82
07:39:38,53,9,81
07:39:39,53,14,80
07:39:40,53,15,80
07:39:41,51,20,81
07:39:42,51,23,81
07:39:43,51,23,81
07:39:44,51,25,80
07:39:45,51,26,80
07:39:46,50,25,79
07:39:47,50,29,80
07:39:48,51,31,81
07:39:49,51,29,81
07:39:50,51,27,81
07:39:51,50,26,80
07:39:52,51,28,79
07:39:53,51,24,80
07:39:54,51,22,80
07:39:55,50,25,81
07:39:56,50,26,80
07:39:57,49,25,79
07:39:58,49,25,79
07:39:59,49,24,80
07:40:00,49,25,81
07:40:01,48,23,80
07:40:02,47,27,80
07:40:03,49,31,80
07:40:04,50,33,79
07:40:05,51,31,80
07:40:06,51,30,80
07:40:07,49,29,80
07:40:08,50,30,81
07:40:09,51,31,81
07:40:10,51,34,81
07:40:11,52,32,81
07:40:12,51,29,81
07:40:13,51,25,82
07:40:14,51,26,82
07:40:15,51,26,82
07:40:16,52,28,81
07:40:17,50,27,81
07:40:18,50,26,81
07:40:19,51,30,81
07:40:20,52,34,81
07:40:21,53,36,81
07:40:22,54,32,82
07:40:23,54,31,82
07:40:24,54,30,82
07:40:25,54,30,83
07:40:26,54,28,83
07:40:27,53,29,83
07:40:28,52,28,82
07:40:29,53,32,82
07:40:30,54,32,83
07:40:31,55,36,83
07:40:32,55,37,83
07:40:33,54,32,83
07:40:34,54,28,82
07:40:35,54,25,82
07:40:36,53,27,82
07:40:37,53,27,81
07:40:38,53,29,81
07:40:39,53,28,82
