Time,SmO2,HBDiff
75.51,38.47,34.72
75.57,38.36,34.62
75.69,37.84,34.59
75.78,37.16,34.62
75.87,36.65,34.68
76.02,35.98,34.70
76.08,35.59,34.66
76.17,35.40,34.53
76.29,35.08,34.32
76.38,34.98,34.17
76.47,35.27,34.14
76.59,36.22,34.16
76.68,37.86,34.16
76.77,39.50,34.13
76.89,39.93,34.11
77.01,38.75,34.01
77.07,37.84,33.79
77.16,37.74,33.56
77.28,38.12,33.37
77.37,38.95,33.23
77.46,38.13,33.16
77.58,35.86,33.14
77.67,35.11,33.17
77.76,35.87,33.21
77.88,36.17,33.20
77.97,35.42,33.13
78.09,34.47,33.03
78.18,33.86,32.91
78.27,33.38,32.76
78.36,33.06,32.56
78.45,32.51,32.31
78.57,31.41,31.98
78.66,30.94,31.76
78.78,31.70,31.93
78.87,33.44,32.31
78.96,35.54,32.46
79.05,36.40,32.32
79.17,36.28,32.13
79.26,36.55,31.97
79.35,36.89,31.76
79.47,36.83,31.46
79.56,36.76,31.09
79.65,37.11,30.72
79.77,38.10,30.44
79.86,39.31,30.22
79.95,39.44,30.06
80.04,38.22,29.86
80.16,37.22,29.53
80.28,36.61,29.26
80.34,35.87,29.27
80.46,36.97,29.95
80.55,40.14,31.44
80.64,42.04,32.84
80.76,40.44,33.46
80.85,36.40,33.51
80.94,32.15,33.38
81.09,30.05,33.24
81.15,29.80,33.12
81.27,27.70,33.05
81.36,24.04,33.02
81.45,20.85,33.02
81.54,18.08,33.03
81.63,15.93,33.04
81.78,15.09,33.04
81.84,15.08,33.04
81.93,14.33,33.04
82.05,13.05,33.04
82.14,11.46,33.04
82.26,9.80,33.04
82.35,9.42,33.04
82.44,9.48,33.04
82.53,8.58,33.04
82.65,7.63,33.04
82.77,7.87,32.04
82.83,9.94,29.30
82.92,12.60,26.45
83.04,14.18,24.88
83.13,15.02,24.56
83.22,15.51,25.17
83.34,17.72,26.24
83.43,23.23,27.50
83.53,29.02,28.71
83.64,32.69,29.47
83.76,34.62,29.73
83.82,35.81,29.62
83.94,36.73,29.30
84.03,37.06,28.99
84.13,36.84,28.85
84.27,36.64,28.81
84.33,36.61,28.72
84.42,37.05,28.54
84.51,37.69,28.29
84.63,37.58,28.07
84.72,37.14,27.93
84.81,36.61,27.86
84.93,35.80,27.82
85.03,34.97,27.74
85.11,34.36,27.64
85.26,34.29,27.50
85.32,34.58,27.38
85.41,34.66,27.27
85.53,34.35,27.14
85.62,33.80,26.97
85.71,33.31,26.80
85.83,33.16,26.62
85.93,33.14,26.45
86.01,32.92,26.34
86.10,32.32,26.29
86.22,31.66,26.17
86.31,31.55,25.97
86.40,31.40,25.83
86.52,30.80,25.70
86.61,30.23,25.51
86.70,29.53,25.29
86.82,28.91,25.09
86.91,28.73,24.91
87.03,28.68,24.71
87.13,28.51,24.48
87.21,28.37,24.26
87.30,28.38,24.11
87.39,28.21,23.96
87.54,27.87,23.77
87.63,27.75,23.59
87.69,27.73,23.44
87.81,27.89,23.26
87.90,28.63,23.07
88.02,29.20,22.92
88.11,28.70,22.81
88.20,27.58,22.73
88.29,26.40,22.65
88.41,25.57,22.51
88.53,25.31,22.34
88.59,25.40,22.17
88.71,25.34,22.02
88.80,24.73,21.86
88.89,23.92,21.70
89.01,23.43,21.56
89.10,23.23,21.39
89.19,23.21,21.26
89.28,23.48,21.14
89.40,23.73,20.98
89.52,23.00,20.81
89.58,21.51,20.69
89.70,20.12,20.59
89.79,19.12,20.50
89.88,19.62,20.36
90.03,21.34,20.20
90.09,22.09,20.07
90.18,21.29,19.97
90.30,20.04,19.90
90.39,19.48,19.79
90.51,19.69,19.66
90.57,19.75,19.56
90.69,20.00,19.40
90.78,20.87,19.23
90.87,20.80,19.15
91.03,19.72,19.08
91.08,18.96,18.92
91.17,18.77,18.74
91.29,18.77,18.53
91.38,18.67,18.36
91.47,18.37,18.28
91.59,18.07,18.24
91.68,17.72,18.13
91.77,17.04,18.01
91.86,16.46,17.91
92.01,16.36,17.82
92.07,16.43,17.74
92.16,15.79,17.62
92.28,14.46,17.42
92.37,14.03,17.26
92.46,14.60,17.23
92.58,15.24,17.21
92.67,15.42,17.12
92.76,14.87,16.99
92.88,14.76,16.90
